Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3
1,Providence City College,3.65,Bachelor's,Providence,F,0,0,0,0,ML Engineer,01/12,10/13,Research Assistant,03/13,05/13,N/A,07/12,04/13
2,Providence School,3.08,Bachelor's,Los Angeles,F,0,0,0,3,Lawyer,11/17,07/16,Research Assistant,07/10,11/11,Junior SWE,11/19,06/13
3,Providence School,2.77,Master's,Los Angeles,F,0,0,0,1,Data Scientist,07/16,02/16,ML Engineer,01/18,06/13,N/A,07/14,03/14
4,State Providence College,2.9,Master's,Boston,F,1,0,0,1,Research Assistant,10/10,08/16,Research Assistant,08/19,10/17,ML Engineer,07/10,08/19
5,Providence State University,3.5,Bachelor's,Boston,F,0,0,0,0,Lawyer,07/18,02/12,Junior SWE,04/16,08/14,Data Scientist,04/11,03/15
6,Providence State University,2.8,Bachelor's,New York,F,0,1,0,1,Senior SWE,07/19,09/11,Lawyer,06/11,11/19,Senior SWE,02/19,10/13
7,Providence Tech Institute,2.63,Master's,Los Angeles,M,0,0,0,2,Data Scientist,09/18,12/14,Data Scientist,01/18,01/18,Data Scientist,12/13,11/11
8,Providence University,3.43,Master's,Providence,M,0,0,0,3,Junior SWE,09/18,01/15,Lawyer,03/19,08/16,ML Engineer,10/14,07/11
9,Providence State University,3.47,Bachelor's,New York,M,0,0,0,0,ML Engineer,04/16,10/10,Senior SWE,11/18,10/18,Data Scientist,08/19,09/14
10,Providence School,3.17,Master's,Chicago,F,0,0,0,3,Senior SWE,06/16,03/16,Research Assistant,09/13,04/12,ML Engineer,05/19,09/19
11,Providence City College,3.26,Master's,Boston,N/A,0,1,0,0,ML Engineer,02/15,11/13,ML Engineer,04/10,08/15,Data Scientist,07/17,11/14
12,State Providence College,3.75,Master's,New York,M,0,0,0,1,Senior SWE,06/17,12/16,Senior SWE,08/18,03/17,Data Scientist,02/13,08/16
13,Providence School,3.01,Bachelor's,New York,M,0,1,1,1,Research Assistant,07/10,02/18,ML Engineer,02/19,11/19,Lawyer,04/19,01/12
14,Providence School,3.8,PhD,Miami,F,0,1,0,3,Research Assistant,03/10,03/13,Data Scientist,06/17,10/15,Senior SWE,01/11,09/16
15,Providence School,3.81,Bachelor's,Los Angeles,F,0,0,0,0,Junior SWE,02/12,08/11,Lawyer,11/12,05/11,Research Assistant,02/17,05/16
